Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,83.20%,%,5039091,6055096,83.60%,82.80%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,85.60%,%,68532,80078,91.60%,79.50%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,71.40%,%,354215,496420,74.40%,68.30%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,79.80%,%,190580,238875,83.80%,75.70%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,67.20%,%,132854,197728,72.30%,62.10%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,73.70%,%,746181,1013101,75.80%,71.50%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81.80%,%,5791996,7076369,82.30%,81.40%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,78.70%,%,2048699.5,2602432.5,79.40%,78%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,66.60%,%,27021,40575,78.50%,54.70%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,65%,%,86718,133398.5,71.40%,58.60%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,69.30%,%,57471.5,82929,77.50%,61.10%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,55.60%,%,19475,35018,68.60%,42.60%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,65.30%,%,190685.5,291920.5,69.70%,60.90%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,77.30%,%,2241812,2898475.5,78%,76.70%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,69.60%,%,2120197.5,3045266.5,70.30%,68.90%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,50.50%,%,16609,32918,63.80%,37.10%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,46%,%,62823,136425.5,52.40%,39.70%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,64.60%,%,54073.5,83737,72.80%,56.40%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,54.60%,%,16393,30045,68.40%,40.70%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,52.90%,%,149898.5,283125.5,57.40%,48.40%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,68.20%,%,2272774,3332043.5,68.90%,67.50%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,61.20%,%,1253113,2046428,62.20%,60.30%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,40.20%,%,40371,100393,47.50%,32.90%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,51.30%,%,29499,57507,61.70%,40.90%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,41.10%,%,10200,24802,55.80%,26.50%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,43.80%,%,88961,203127,49.10%,38.50%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,59.70%,%,1343691,2251993,60.60%,58.80%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,67.20%,%,506967,754315,68.70%,65.80%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,40.70%,%,53886,132507,47%,34.40%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,56.70%,%,26347,46462,68%,45.40%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,50.60%,%,34379,67953,59.90%,41.30%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,47.30%,%,120592,255060,52%,42.60%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,62.20%,%,628277,1010646,63.50%,60.80%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,36.10%,%,523811,1451388,37.10%,35%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,15.30%,%,26930,176068,19.20%,11.40%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,27.80%,%,15933,57364,37.10%,18.50%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,24.60%,%,13477,54767,33.10%,16.10%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,19.80%,%,60312,303917,23.20%,16.50%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,33.30%,%,585811,1758182,34.30%,32.40%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,46.20%,%,20211,43725,53.10%,39.40%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,42.50%,%,22244,52309,48.80%,36.20%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,72%,%,11512090,15998651,72.30%,71.60%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,66.10%,%,131005,198315,71.20%,60.90%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,53.10%,%,625826,1177479,55.30%,51%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,65.80%,%,375054,569795,68.90%,62.70%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,55.10%,%,226778,411907,58.80%,51.30%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,57.60%,%,1358663,2357496,59.20%,56.10%
Unreported,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,70.10%,%,12886605,18380018,70.40%,69.80%
White,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86.40%,%,9991996,11569329,86.70%,86.10%
Mixed,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86.50%,%,131416,151863,90.90%,82.20%
Asian or Asian British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,82.40%,%,864422,1048839,84.20%,80.60%
Black or Black British,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81.50%,%,334407,410123,84.60%,78.50%
Other,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,77.20%,%,290284,376069,80.60%,73.80%
Other than White ,ONS 5+1,2014,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81.60%,%,1620529,1986894,82.90%,80.20%
